"","sample_id","genotype","block_number","replica_number","dev_stage","dev_group","leaf_number","leaf_zone","dag","tissue_designation","developmental_stage_dap","variable","value"
"23660","D12B113A","B73",2,1,9,"7-9",13,"Along",49,"B73_13_9",50,"TG_52_1_16_0_18_0_18_1",2698
"23661","D12B213A","B73",2,2,9,"7-9",13,"Along",49,"B73_13_9",50,"TG_52_1_16_0_18_0_18_1",3271
"23662","D12C113A","CML312",2,1,10,">9",13,"Along",49,"CML312_13_10",50,"TG_52_1_16_0_18_0_18_1",2285
"23663","D12C213A","CML312",2,2,11,">9",13,"Along",49,"CML312_13_11",50,"TG_52_1_16_0_18_0_18_1",2638
"23664","D12P113A","PT",2,1,8,"7-9",13,"Along",49,"PT_13_8",50,"TG_52_1_16_0_18_0_18_1",5008
"23665","D13B14A","B73",3,1,6,"4-6",4,"Along",40,"B73_4_6",40,"TG_52_1_16_0_18_0_18_1",8747
"23666","D13B24A","B73",3,2,6,"4-6",4,"Along",40,"B73_4_6",40,"TG_52_1_16_0_18_0_18_1",6594
"23667","D13C14A","CML312",3,1,8,"7-9",4,"Along",40,"CML312_4_8",40,"TG_52_1_16_0_18_0_18_1",6408
"23668","D13C24A","CML312",3,2,8,"7-9",4,"Along",40,"CML312_4_8",40,"TG_52_1_16_0_18_0_18_1",11316
"23669","D13P14A","PT",3,1,8,"7-9",4,"Along",40,"PT_4_8",40,"TG_52_1_16_0_18_0_18_1",3510
"23670","D13P24A","PT",3,2,7,">9",4,"Along",40,"PT_4_7",40,"TG_52_1_16_0_18_0_18_1",12517
"23671","D13B15A","B73",3,1,6,"4-6",5,"Along",40,"B73_5_6",40,"TG_52_1_16_0_18_0_18_1",8152
"23672","D13B25A","B73",3,2,6,"4-6",5,"Along",40,"B73_5_6",40,"TG_52_1_16_0_18_0_18_1",6516
"23673","D13C25A","CML312",3,2,8,"7-9",5,"Along",40,"CML312_5_8",40,"TG_52_1_16_0_18_0_18_1",4138
"23674","D13P15A","PT",3,1,8,"7-9",5,"Along",40,"PT_5_8",40,"TG_52_1_16_0_18_0_18_1",2945
